V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,subj_idx,epoch,item_number,rt,has_answered,image_more_rewarded,rt_choice,feedback,image_chosen,intertrial_delay,img_1_position,img_2_position,total_feedback,trial,subj_code_1,Task2noRev_n_1,context_1,control_1,post_context_1,coin,TIME_start,TIME_end,TIME_total
epoc1,prltask1,1,737,1,image1_rewarded8,289,2,2,650,230,-230,18,prl_EMA_norev_neutral.2023-06-15-1653.data.5ab972ab-cb9f-4f58-a36d-ac5b4ffea5ed.txt,epoc1,1,737,1,image1_rewarded8,289,0,2,650,230,-230,18,19,33333333,prl_EMA_norev_neutral.2023-06-15-1653.data.5ab972ab-cb9f-4f58-a36d-ac5b4ffea5ed.txt,15,3,20,19,2023-06-15-16-49,2023-06-15-16-53,4
epoc1,prltask1,1,969,1,image1_rewarded8,2761,2,2,800,230,-230,17,prl_EMA_norev_neutral.2023-06-15-1653.data.5ab972ab-cb9f-4f58-a36d-ac5b4ffea5ed.txt,epoc1,1,969,1,image1_rewarded8,2761,0,2,800,230,-230,17,20,33333333,prl_EMA_norev_neutral.2023-06-15-1653.data.5ab972ab-cb9f-4f58-a36d-ac5b4ffea5ed.txt,15,3,20,19,2023-06-15-16-49,2023-06-15-16-53,4
epoc1,prltask2,1,668,1,image1_rewarded8,480,2,1,800,-230,230,16,prl_EMA_norev_neutral.2023-06-15-1653.data.5ab972ab-cb9f-4f58-a36d-ac5b4ffea5ed.txt,epoc1,1,668,1,image1_rewarded8,480,0,1,800,-230,230,16,21,33333333,prl_EMA_norev_neutral.2023-06-15-1653.data.5ab972ab-cb9f-4f58-a36d-ac5b4ffea5ed.txt,15,3,20,19,2023-06-15-16-49,2023-06-15-16-53,4
epoc1,prltask1,1,560,1,image1_rewarded8,367,1,1,500,-230,230,17,prl_EMA_norev_neutral.2023-06-15-1653.data.5ab972ab-cb9f-4f58-a36d-ac5b4ffea5ed.txt,epoc1,1,560,1,image1_rewarded8,367,1,1,500,-230,230,17,22,33333333,prl_EMA_norev_neutral.2023-06-15-1653.data.5ab972ab-cb9f-4f58-a36d-ac5b4ffea5ed.txt,15,3,20,19,2023-06-15-16-49,2023-06-15-16-53,4
epoc1,prltask1,1,544,1,image1_rewarded8,335,1,1,950,-230,230,18,prl_EMA_norev_neutral.2023-06-15-1653.data.5ab972ab-cb9f-4f58-a36d-ac5b4ffea5ed.txt,epoc1,1,544,1,image1_rewarded8,335,1,1,950,-230,230,18,23,33333333,prl_EMA_norev_neutral.2023-06-15-1653.data.5ab972ab-cb9f-4f58-a36d-ac5b4ffea5ed.txt,15,3,20,19,2023-06-15-16-49,2023-06-15-16-53,4
epoc1,prltask1,1,673,1,image1_rewarded8,359,2,2,950,230,-230,17,prl_EMA_norev_neutral.2023-06-15-1653.data.5ab972ab-cb9f-4f58-a36d-ac5b4ffea5ed.txt,epoc1,1,673,1,image1_rewarded8,359,0,2,950,230,-230,17,24,33333333,prl_EMA_norev_neutral.2023-06-15-1653.data.5ab972ab-cb9f-4f58-a36d-ac5b4ffea5ed.txt,15,3,20,19,2023-06-15-16-49,2023-06-15-16-53,4
epoc1,prltask1,1,1487,1,image1_rewarded8,2253,1,1,950,-230,230,18,prl_EMA_norev_neutral.2023-06-15-1653.data.5ab972ab-cb9f-4f58-a36d-ac5b4ffea5ed.txt,epoc1,1,1487,1,image1_rewarded8,2253,1,1,950,-230,230,18,25,33333333,prl_EMA_norev_neutral.2023-06-15-1653.data.5ab972ab-cb9f-4f58-a36d-ac5b4ffea5ed.txt,15,3,20,19,2023-06-15-16-49,2023-06-15-16-53,4
epoc1,prltask2,1,1879,1,image1_rewarded8,516,2,1,800,-230,230,17,prl_EMA_norev_neutral.2023-06-15-1653.data.5ab972ab-cb9f-4f58-a36d-ac5b4ffea5ed.txt,epoc1,1,1879,1,image1_rewarded8,516,0,1,800,-230,230,17,26,33333333,prl_EMA_norev_neutral.2023-06-15-1653.data.5ab972ab-cb9f-4f58-a36d-ac5b4ffea5ed.txt,15,3,20,19,2023-06-15-16-49,2023-06-15-16-53,4
epoc1,prltask2,1,544,1,image1_rewarded8,501,1,2,800,230,-230,18,prl_EMA_norev_neutral.2023-06-15-1653.data.5ab972ab-cb9f-4f58-a36d-ac5b4ffea5ed.txt,epoc1,1,544,1,image1_rewarded8,501,1,2,800,230,-230,18,27,33333333,prl_EMA_norev_neutral.2023-06-15-1653.data.5ab972ab-cb9f-4f58-a36d-ac5b4ffea5ed.txt,15,3,20,19,2023-06-15-16-49,2023-06-15-16-53,4
epoc1,prltask1,1,407,1,image1_rewarded8,806,1,1,1100,-230,230,19,prl_EMA_norev_neutral.2023-06-15-1653.data.5ab972ab-cb9f-4f58-a36d-ac5b4ffea5ed.txt,epoc1,1,407,1,image1_rewarded8,806,1,1,1100,-230,230,19,28,33333333,prl_EMA_norev_neutral.2023-06-15-1653.data.5ab972ab-cb9f-4f58-a36d-ac5b4ffea5ed.txt,15,3,20,19,2023-06-15-16-49,2023-06-15-16-53,4
epoc1,prltask1,1,1088,1,image1_rewarded8,363,1,1,1100,-230,230,20,prl_EMA_norev_neutral.2023-06-15-1653.data.5ab972ab-cb9f-4f58-a36d-ac5b4ffea5ed.txt,epoc1,1,1088,1,image1_rewarded8,363,1,1,1100,-230,230,20,29,33333333,prl_EMA_norev_neutral.2023-06-15-1653.data.5ab972ab-cb9f-4f58-a36d-ac5b4ffea5ed.txt,15,3,20,19,2023-06-15-16-49,2023-06-15-16-53,4
epoc1,prltask1,1,1209,1,image1_rewarded8,585,2,2,1100,230,-230,19,prl_EMA_norev_neutral.2023-06-15-1653.data.5ab972ab-cb9f-4f58-a36d-ac5b4ffea5ed.txt,epoc1,1,1209,1,image1_rewarded8,585,0,2,1100,230,-230,19,30,33333333,prl_EMA_norev_neutral.2023-06-15-1653.data.5ab972ab-cb9f-4f58-a36d-ac5b4ffea5ed.txt,15,3,20,19,2023-06-15-16-49,2023-06-15-16-53,4
